COUNTYNS,FREQUENCY,COUNT_COUN,TweetTotal,GdeltTotal,Tweets_GdeltSum,TweetSep1,TweetSep2,TweetSep3,TweetSep4,TweetSep5,TweetSep6,GdeltSep1,GdeltSep2,GdeltSep3,GdeltSep4,GdeltSep5,GdeltSep6
1008545,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1008559,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1008566,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1008567,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1008584,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1008585,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1008591,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1025833,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1025834,1,1,1,3,4,0,0,0,1,0,0,0,0,0,1,1,1
1025836,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1
1026131,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0
1026132,1,1,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0
1026334,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1247981,1,1,1,3,4,0,0,1,0,0,0,0,2,0,1,0,0
1247990,1,1,1,2,3,0,1,0,0,0,0,0,1,1,0,0,0
1248003,1,1,1,2,3,0,1,0,0,0,0,0,0,0,0,1,1
1671894,1,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0
295725,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
295728,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
295729,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
295731,1,1,0,4,4,0,0,0,0,0,0,2,1,1,0,0,0
295734,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0
295762,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
306913,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0
306918,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
326720,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
343390,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0
343936,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
345456,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1
345714,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
345923,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
346892,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
347465,1,1,0,3,3,0,0,0,0,0,0,0,0,1,2,0,0
347654,1,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
348865,1,1,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0
349086,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
350204,1,1,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0
351265,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
356774,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
357747,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1008535,1,1,0,4,4,0,0,0,0,0,0,0,0,0,3,1,0
1008547,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,4,1
1008548,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1008556,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1008557,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1008587,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1008588,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1008589,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1008594,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1
1008595,1,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,1
1008597,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1025844,1,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1
1026332,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1026336,1,1,0,5,5,0,0,0,0,0,0,0,1,1,0,2,1
1026338,1,1,0,3,3,0,0,0,0,0,0,0,0,0,1,2,0
1245652,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
1247982,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1247987,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1247988,1,1,0,5,5,0,0,0,0,0,0,0,0,2,2,1,0
1248000,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1248007,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1248010,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1248011,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1686953,1,1,0,3,3,0,0,0,0,0,0,1,0,0,0,1,1
1687999,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
